-___3---11---βίος — «жизнь» + λόγος — «учение, наука») — наука о живых существах и их взаимодействии со средой.
-___3---15---βίος — «жизнь» + λόγος — «учение, наука») — наука о живых существах и их взаимодействии со средой.
+___2---3---Как самостоятельная наука биология выделилась из естественных наук в XIX веке, когда учёные обнаружили, что все живые организмы обладают некоторыми общими свойствами и признаками, в совокупности не характерными для неживой природы.
-___3---7---Как самостоятельная наука биология выделилась из естественных наук в XIX веке, когда учёные обнаружили, что все живые организмы обладают некоторыми общими свойствами и признаками, в совокупности не характерными для неживой природы.
-___1---9---Биологическая картина мира В настоящее время биология — стандартный предмет в средних и высших учебных заведениях всего мира.
+___6---9---Биологическая картина мира В настоящее время биология — стандартный предмет в средних и высших учебных заведениях всего мира.
-___10---19---Называют пять принципов, объединяющих все биологические дисциплины в единую науку о живой материи[уточнить]:  Клеточная теория — учение обо всём, что касается клеток.
-___22---24---Чарльз Дарвин через пятьдесят лет установил, что её движущей силой является естественный отбор, так же как искусственный отбор сознательно применяется человеком для создания новых пород животных и сортов растений.
-___2---10---Биогеоценотический — уровень взаимодействия видов между собой и с различными факторами окружающей среды.
-___10---12---Биогеоценотический — уровень взаимодействия видов между собой и с различными факторами окружающей среды.
-___6---10---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
-___40---126---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
-___40---155---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
-___53---155---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
-___57---155---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
-___57---178---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
-___63---155---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
+___63---178---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
+___66---87---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
-___66---155---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
-___75---87---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
-___75---126---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
-___75---155---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
-___83---178---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
-___87---133---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
-___87---144---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
-___87---185---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
-___89---155---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
-___94---178---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
-___101---155---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
